game_count,p1,p1_score,p2,p2_score
872,greedy,21,random,33
873,greedy,24,random,51
874,greedy,26,random,34
875,greedy,26,random,54
876,greedy,22,random,53
877,greedy,13,random,42
878,greedy,17,random,49
879,greedy,18,random,56
880,greedy,21,random,38
881,greedy,21,random,20
882,greedy,17,random,23
883,greedy,16,random,29
884,greedy,15,random,24
885,greedy,24,random,23
886,greedy,18,random,47
887,greedy,20,random,46
888,greedy,13,random,37
889,greedy,23,random,23
890,greedy,24,random,32
891,greedy,12,random,66
892,greedy,18,random,37
893,greedy,22,random,28
894,greedy,21,random,26
895,greedy,25,random,18
896,greedy,18,random,46
897,greedy,17,random,37
898,greedy,24,random,43
899,greedy,20,random,27
900,greedy,18,random,30
901,greedy,23,random,28
902,greedy,19,random,44
903,greedy,32,random,27
904,greedy,8,random,63
905,greedy,15,random,37
906,greedy,22,random,32
907,greedy,20,random,29
908,greedy,17,random,43
909,greedy,21,random,33
910,greedy,9,random,59
911,greedy,25,random,33
912,greedy,20,random,53
913,greedy,21,random,53
914,greedy,18,random,39
915,greedy,16,random,24
916,greedy,24,random,24
917,greedy,14,random,48
918,greedy,18,random,29
919,greedy,18,random,53
920,greedy,17,random,46
921,greedy,24,random,32
922,greedy,16,random,42
923,greedy,22,random,39
924,greedy,18,random,62
925,greedy,14,random,57
926,greedy,26,random,40
927,greedy,19,random,33
928,greedy,16,random,32
929,greedy,20,random,29
930,greedy,18,random,55
931,greedy,27,random,35
932,greedy,27,random,30
933,greedy,19,random,37
934,greedy,23,random,41
935,greedy,23,random,28
936,greedy,23,random,28
937,greedy,12,random,57
938,greedy,22,random,28
939,greedy,27,random,38
940,greedy,17,random,53
941,greedy,17,random,42
942,greedy,29,random,46
943,greedy,12,random,62
944,greedy,18,random,44
945,greedy,20,random,45
946,greedy,24,random,29
947,greedy,13,random,55
948,greedy,20,random,56
949,greedy,29,random,33
950,greedy,16,random,28
951,greedy,22,random,57
952,greedy,19,random,50
953,greedy,20,random,32
954,greedy,18,random,37
955,greedy,22,random,31
956,greedy,23,random,43
957,greedy,18,random,47
958,greedy,30,random,37
959,greedy,28,random,24
960,greedy,23,random,43
961,greedy,19,random,23
962,greedy,18,random,33
963,greedy,16,random,53
964,greedy,29,random,38
965,greedy,20,random,23
966,greedy,34,random,47
967,greedy,13,random,33
968,greedy,21,random,47
